exper,expersq,black,south66,enroll,smsa,momdad14,weight,wage,libcrd14,motheduc,fatheduc,KWW,IQ,educ
7,49,0,0,0,1,1,496635,817,1.0,11.0,14.0,43.0,102.0,16
10,100,0,0,0,1,1,496635,865,1.0,12.0,15.0,32.0,91.0,14
7,49,0,0,0,1,1,380166,350,1.0,12.0,12.0,30.0,104.0,15
5,25,0,0,0,1,1,369567,202,1.0,12.0,12.0,22.0,102.44978165938865,13
13,169,0,0,0,1,0,367470,505,1.0,16.0,16.0,43.0,97.0,13
7,49,0,0,0,1,1,480445,816,1.0,13.0,12.0,41.0,125.0,17
2,4,0,0,0,1,1,380166,625,1.0,12.0,14.0,41.0,123.0,18
8,64,0,0,0,1,1,367470,769,1.0,16.0,16.0,35.0,128.0,18
4,16,0,0,1,1,1,380166,500,1.0,17.0,16.0,38.0,133.0,17
4,16,0,0,1,1,1,380166,619,1.0,8.0,12.0,32.0,114.0,17
12,144,0,0,0,1,0,480445,650,1.0,8.0,10.00344827586207,40.0,103.0,12
4,16,0,0,0,1,1,380166,769,1.0,12.0,10.0,36.0,130.0,18
8,64,0,0,0,1,1,380166,512,1.0,12.0,10.0,33.0,97.0,12
7,49,0,0,0,1,1,496635,625,1.0,13.0,12.0,46.0,132.0,18
11,121,0,0,0,1,1,496635,1111,1.0,12.0,12.0,41.0,98.0,14
9,81,0,0,0,1,1,380166,721,1.0,12.0,12.0,41.0,108.0,13
12,144,0,0,0,1,1,367470,1154,1.0,12.0,13.0,44.0,107.0,14
10,100,0,0,0,0,1,367470,827,1.0,18.0,18.0,40.0,129.0,18
12,144,0,0,0,1,1,367470,923,1.0,12.0,14.0,56.0,102.44978165938865,16
5,25,0,0,0,1,1,380166,1076,1.0,17.0,14.0,42.0,132.0,17
15,225,0,0,0,1,1,367470,625,1.0,8.0,10.00344827586207,37.0,101.0,12
8,64,0,0,0,1,0,380166,460,1.0,8.0,10.00344827586207,24.0,92.0,13
4,16,1,0,0,1,1,102031,900,1.0,12.0,8.0,39.0,108.0,14
5,25,0,0,0,1,1,496635,682,1.0,9.0,8.0,33.540668241646976,132.0,18
6,36,0,0,0,1,1,369567,411,1.0,12.0,10.0,20.0,102.44978165938865,12
8,64,0,0,0,1,1,380166,625,0.0,15.0,12.0,35.0,106.0,13
8,64,0,0,0,1,1,355491,1005,1.0,12.0,12.0,46.0,123.0,18
7,49,0,0,0,1,1,357519,725,1.0,11.0,9.0,24.0,109.0,11
6,36,0,0,0,1,1,367772,750,1.0,11.0,8.0,35.0,103.0,15
9,81,0,0,0,1,1,533828,529,0.0,8.0,10.00344827586207,33.0,108.0,14
6,36,0,0,0,1,1,496635,972,1.0,12.0,8.0,47.0,122.0,17
8,64,0,0,0,0,0,380166,472,1.0,12.0,12.0,36.0,109.0,12
6,36,0,0,0,1,0,369567,325,1.0,12.0,12.0,35.0,102.0,12
16,256,0,0,0,1,1,367470,875,1.0,12.0,10.00344827586207,44.0,109.0,12
15,225,0,0,0,1,1,367470,625,1.0,10.0,9.0,40.0,100.0,13
8,64,0,0,0,1,1,380166,337,1.0,10.0,8.0,29.0,93.0,12
5,25,0,0,0,1,1,380166,481,1.0,5.0,5.0,37.0,115.0,16
14,196,0,0,0,1,1,551817,650,0.0,10.348136996612721,5.0,33.540668241646976,102.44978165938865,9
3,9,0,0,0,1,1,369567,383,0.0,4.0,5.0,39.0,102.44978165938865,16
6,36,0,0,0,1,1,533828,962,1.0,14.0,15.0,50.0,125.0,18
7,49,0,0,0,0,1,496635,615,1.0,12.0,13.0,31.0,106.0,16
8,64,0,0,0,1,1,380166,702,1.0,12.0,12.0,43.0,113.0,14
11,121,0,0,0,1,1,551817,635,1.0,12.0,10.00344827586207,41.0,122.0,14
10,100,0,0,0,1,1,422407,200,0.0,11.0,10.0,35.0,102.44978165938865,12
9,81,0,0,0,1,1,380166,817,1.0,10.0,10.0,43.0,116.0,12
6,36,0,0,0,1,0,380166,577,1.0,12.0,10.00344827586207,39.0,116.0,14
3,9,0,0,0,1,1,760332,466,1.0,12.0,12.0,34.0,105.0,17
7,49,0,0,0,1,0,993271,924,1.0,12.0,10.00344827586207,39.0,102.44978165938865,16
9,81,0,0,1,1,1,993271,793,0.0,12.0,12.0,38.0,112.0,16
8,64,0,0,0,1,1,760332,635,1.0,12.0,12.0,32.0,113.0,14
7,49,0,0,0,1,0,369567,570,1.0,10.348136996612721,10.00344827586207,22.0,102.44978165938865,12
7,49,0,0,0,1,1,496635,705,1.0,12.0,12.0,37.0,94.0,16
8,64,0,0,0,1,1,380166,635,1.0,9.0,12.0,40.0,103.0,14
12,144,0,0,0,1,0,496635,694,0.0,12.0,10.00344827586207,36.0,102.0,12
15,225,0,0,0,1,1,367470,615,1.0,12.0,10.0,47.0,109.0,13
4,16,0,0,0,1,1,380166,462,1.0,10.0,15.0,34.0,130.0,16
16,256,0,0,0,1,1,408301,865,1.0,12.0,12.0,45.0,105.0,12
9,81,0,0,0,1,1,367470,737,1.0,12.0,12.0,46.0,134.0,18
7,49,0,0,0,1,1,357519,1400,1.0,14.0,8.0,39.0,102.44978165938865,12
13,169,0,0,0,1,0,496635,808,0.0,7.0,10.00344827586207,43.0,105.0,12
4,16,0,0,0,1,1,380166,654,0.0,12.0,11.0,36.0,104.0,16
7,49,0,0,0,1,0,369567,300,1.0,12.0,10.00344827586207,35.0,112.0,12
8,64,0,0,0,1,1,496635,577,1.0,10.0,8.0,37.0,115.0,16
2,4,0,0,0,1,1,410630,265,1.0,12.0,10.0,44.0,102.44978165938865,16
7,49,0,0,0,0,1,496635,594,1.0,8.0,8.0,33.0,117.0,18
3,9,0,0,0,1,1,380166,325,1.0,8.0,12.0,29.0,114.0,17
2,4,0,0,1,0,1,369567,385,1.0,8.0,12.0,37.0,118.0,16
1,1,0,0,0,1,1,369567,1000,1.0,12.0,12.0,32.0,107.0,18
4,16,0,0,0,1,1,367772,465,1.0,11.0,8.0,49.0,120.0,18
6,36,0,0,0,1,1,367772,440,1.0,18.0,16.0,43.0,131.0,16
5,25,0,0,0,1,1,367772,625,1.0,17.0,16.0,40.0,124.0,16
4,16,0,0,0,1,1,92929,285,1.0,12.0,11.0,36.0,121.0,17
7,49,0,0,0,1,1,92929,650,1.0,12.0,10.0,35.0,110.0,14
6,36,0,0,0,1,1,90339,808,1.0,12.0,10.0,34.0,103.0,13
6,36,0,0,0,1,1,90339,500,1.0,12.0,10.0,26.0,102.44978165938865,12
4,16,0,0,0,1,1,367772,831,1.0,12.0,14.0,45.0,115.0,16
13,169,0,0,0,1,1,480445,500,1.0,6.0,8.0,33.0,96.0,12
9,81,0,0,0,1,1,355491,693,0.0,12.0,12.0,48.0,123.0,17
9,81,0,0,0,1,1,367772,1100,1.0,10.0,12.0,37.0,101.0,12
7,49,0,0,0,1,1,357519,763,1.0,12.0,8.0,34.0,98.0,12
9,81,0,0,0,1,1,422407,795,1.0,9.0,8.0,28.0,102.44978165938865,12
3,9,0,0,0,1,1,369567,333,1.0,8.0,7.0,31.0,108.0,16
6,36,0,0,0,1,1,551817,409,1.0,12.0,16.0,39.0,138.0,18
5,25,0,0,0,1,1,380166,865,1.0,12.0,10.00344827586207,37.0,121.0,16
13,169,0,0,0,1,1,496635,888,1.0,12.0,8.0,34.0,96.0,12
16,256,0,0,0,1,1,367470,673,1.0,12.0,10.00344827586207,47.0,89.0,12
15,225,0,0,0,0,1,367470,700,1.0,10.348136996612721,7.0,43.0,109.0,12
9,81,0,0,0,1,1,367470,250,1.0,16.0,16.0,44.0,133.0,18
10,100,0,0,0,1,1,380166,625,1.0,9.0,11.0,32.0,84.0,11
12,144,0,0,0,1,1,496635,417,1.0,12.0,8.0,37.0,102.44978165938865,13
9,81,0,0,0,1,1,380166,576,1.0,12.0,8.0,51.0,98.0,13
8,64,1,0,0,1,1,104596,613,1.0,9.0,12.0,27.0,85.0,12
13,169,0,0,0,1,1,496635,700,1.0,9.0,11.0,33.540668241646976,105.0,12
6,36,0,0,0,1,1,369567,450,1.0,9.0,11.0,20.0,93.0,12
6,36,0,0,0,1,0,380166,500,1.0,12.0,10.00344827586207,38.0,115.0,16
7,49,0,0,0,0,1,369567,514,1.0,10.348136996612721,12.0,36.0,102.44978165938865,12
3,9,0,0,0,1,1,369567,250,1.0,12.0,12.0,45.0,146.0,16
6,36,0,0,0,0,1,369567,315,1.0,12.0,12.0,32.0,102.44978165938865,12
11,121,0,0,0,1,1,496635,375,1.0,12.0,9.0,32.0,82.0,12
13,169,0,0,0,0,0,408301,457,1.0,12.0,10.00344827586207,45.0,120.0,15
9,81,1,0,0,1,0,104596,275,0.0,10.348136996612721,10.00344827586207,26.0,102.44978165938865,12
10,100,0,0,0,1,0,92929,951,1.0,12.0,10.00344827586207,38.0,122.0,12
10,100,0,0,0,1,1,367470,1115,1.0,9.0,8.0,49.0,102.44978165938865,16
3,9,0,0,1,0,1,369567,289,1.0,14.0,12.0,31.0,128.0,16
3,9,0,0,0,1,0,369567,500,1.0,10.348136996612721,10.00344827586207,34.0,110.0,16
8,64,0,0,0,1,1,367470,726,1.0,12.0,16.0,46.0,114.0,18
5,25,0,0,0,1,1,480445,1265,1.0,12.0,18.0,48.0,117.0,18
3,9,1,0,0,1,1,104596,613,1.0,18.0,18.0,40.0,109.0,17
10,100,0,0,0,1,1,380166,545,0.0,11.0,10.0,35.0,91.0,12
9,81,0,0,1,1,1,380166,278,1.0,8.0,12.0,32.0,107.0,13
10,100,0,0,0,1,1,367470,1442,1.0,12.0,16.0,55.0,114.0,18
5,25,0,0,0,1,1,380166,995,1.0,12.0,16.0,40.0,126.0,16
11,121,0,0,0,1,1,496635,700,1.0,11.0,11.0,45.0,82.0,12
6,36,0,0,0,1,1,380166,577,1.0,12.0,9.0,45.0,119.0,16
9,81,0,0,0,1,1,496635,858,1.0,12.0,6.0,37.0,104.0,16
10,100,0,0,0,1,0,380166,686,1.0,10.348136996612721,12.0,35.0,97.0,12
10,100,0,0,0,1,1,496635,832,1.0,10.348136996612721,11.0,49.0,115.0,15
14,196,0,0,1,1,1,367470,633,1.0,8.0,13.0,45.0,83.0,13
14,196,0,0,0,1,1,367470,689,1.0,12.0,12.0,45.0,97.0,12
10,100,0,0,0,1,1,496635,769,1.0,8.0,8.0,43.0,119.0,14
6,36,0,0,0,1,1,367772,385,1.0,14.0,12.0,27.0,105.0,15
6,36,0,0,1,1,1,357519,450,1.0,14.0,12.0,29.0,102.44978165938865,12
9,81,0,0,0,1,1,380166,615,1.0,12.0,10.0,41.0,114.0,12
16,256,0,0,0,1,0,408301,682,1.0,8.0,10.00344827586207,47.0,93.0,12
16,256,0,0,0,1,0,367470,670,1.0,10.348136996612721,10.00344827586207,28.0,73.0,10
16,256,0,0,0,1,1,367470,800,1.0,8.0,8.0,48.0,96.0,11
14,196,0,0,0,1,1,367470,505,1.0,8.0,8.0,48.0,102.44978165938865,14
6,36,0,0,0,1,1,496635,1026,1.0,16.0,12.0,48.0,117.0,18
4,16,0,0,0,1,1,357519,769,1.0,12.0,16.0,30.0,113.0,15
16,256,0,0,0,1,1,408301,290,1.0,14.0,10.0,38.0,106.0,10
9,81,0,0,0,1,0,422407,529,1.0,8.0,10.00344827586207,37.0,104.0,13
7,49,0,0,0,1,1,496635,1154,1.0,12.0,12.0,33.540668241646976,102.44978165938865,16
13,169,0,0,0,1,0,496635,549,1.0,10.348136996612721,12.0,39.0,80.0,10
8,64,0,0,0,1,1,380166,475,1.0,12.0,8.0,30.0,104.0,12
8,64,0,0,0,1,1,380166,450,1.0,12.0,12.0,36.0,102.0,12
4,16,0,0,0,1,0,380166,875,1.0,10.348136996612721,10.0,43.0,114.0,17
4,16,0,0,1,1,0,369567,200,1.0,10.348136996612721,10.0,33.0,93.0,15
7,49,0,0,0,0,1,380166,300,1.0,16.0,16.0,36.0,122.0,13
3,9,0,0,0,0,1,357519,462,1.0,10.348136996612721,16.0,28.0,117.0,16
12,144,0,0,0,1,1,496635,385,1.0,12.0,13.0,38.0,96.0,12
11,121,0,0,0,1,1,355491,1282,1.0,16.0,16.0,51.0,95.0,15
3,9,0,0,0,1,1,357519,588,1.0,12.0,12.0,29.0,117.0,16
9,81,0,0,0,1,1,408636,600,1.0,16.0,17.0,24.0,105.0,12
8,64,0,0,1,1,0,121400,500,0.0,10.348136996612721,6.0,43.0,102.44978165938865,16
15,225,1,0,0,1,1,149854,440,0.0,8.0,8.0,18.0,94.0,12
2,4,0,0,1,1,1,380166,467,1.0,16.0,13.0,43.0,139.0,18
6,36,0,0,0,1,1,496635,929,1.0,12.0,14.0,41.0,91.0,17
5,25,0,0,0,1,1,380166,556,1.0,12.0,14.0,37.0,96.0,16
5,25,0,0,0,1,1,369567,438,0.0,12.0,14.0,32.0,114.0,13
11,121,1,0,0,1,0,648053,600,0.0,10.0,9.0,31.0,54.0,12
8,64,1,0,0,1,1,427892,575,0.0,10.0,9.0,37.0,69.0,12
8,64,1,0,0,1,1,427892,389,0.0,10.0,9.0,17.0,67.0,12
16,256,0,0,0,0,0,408207,795,0.0,10.348136996612721,12.0,37.0,110.0,12
3,9,0,0,0,1,1,422310,471,1.0,16.0,18.0,41.0,125.0,18
3,9,0,0,1,1,1,422310,202,1.0,16.0,18.0,38.0,124.0,17
1,1,0,0,1,1,1,410536,200,1.0,16.0,18.0,35.0,102.44978165938865,17
1,1,0,0,0,1,0,410536,350,1.0,17.0,15.0,35.0,113.0,17
4,16,0,0,0,0,1,410536,375,1.0,12.0,10.0,40.0,100.0,14
3,9,0,0,0,1,1,410536,481,1.0,9.0,12.0,37.0,97.0,16
7,49,0,0,0,1,1,551690,962,1.0,8.0,8.0,44.0,125.0,18
6,36,0,0,0,1,0,422310,423,1.0,12.0,12.0,42.0,106.0,15
6,36,0,0,0,1,1,422310,500,1.0,12.0,11.0,28.0,101.0,15
15,225,0,0,0,1,1,551690,450,1.0,11.0,10.00344827586207,37.0,102.44978165938865,9
14,196,0,0,0,1,1,327808,476,0.0,9.0,8.0,27.0,102.44978165938865,8
6,36,0,0,0,1,1,318670,136,0.0,9.0,8.0,21.0,102.44978165938865,12
14,196,0,0,0,1,1,345723,575,1.0,9.0,10.0,39.0,91.0,12
15,225,0,0,0,1,0,345723,577,1.0,8.0,10.0,28.0,86.0,12
13,169,0,0,0,1,1,475820,310,1.0,9.0,8.0,32.0,110.0,12
15,225,0,0,0,1,1,428238,700,0.0,12.0,12.0,38.0,102.44978165938865,9
12,144,0,0,0,1,1,453563,1322,1.0,12.0,10.00344827586207,47.0,92.0,14
18,324,0,0,0,1,1,408207,551,0.0,9.0,12.0,41.0,85.0,10
7,49,0,0,0,1,1,551690,881,1.0,8.0,8.0,36.0,120.0,17
7,49,0,0,0,1,1,410536,760,1.0,12.0,7.0,27.0,102.44978165938865,12
14,196,0,0,0,1,1,453563,708,1.0,11.0,8.0,52.0,102.44978165938865,12
8,64,0,0,0,1,1,422310,425,1.0,8.0,8.0,24.0,102.44978165938865,12
8,64,0,0,0,1,0,422310,427,1.0,9.0,10.00344827586207,35.0,107.0,12
2,4,0,0,0,1,0,410536,576,1.0,9.0,10.00344827586207,43.0,116.0,16
17,289,0,0,0,1,1,453563,400,1.0,4.0,10.00344827586207,34.0,102.44978165938865,9
13,169,0,0,0,0,1,551690,500,0.0,5.0,8.0,30.0,102.44978165938865,12
10,100,0,0,0,0,1,422310,531,0.0,5.0,8.0,29.0,102.44978165938865,12
6,36,0,0,1,1,1,422310,673,1.0,12.0,12.0,43.0,121.0,16
5,25,0,0,0,1,1,422310,577,1.0,12.0,12.0,41.0,112.0,16
2,4,0,0,0,1,1,410536,325,1.0,12.0,16.0,39.0,102.44978165938865,16
12,144,0,0,0,0,1,428238,500,1.0,11.0,7.0,40.0,102.44978165938865,11
7,49,0,0,0,0,1,318670,770,1.0,11.0,7.0,43.0,100.0,12
8,64,0,0,0,1,1,327808,500,0.0,12.0,7.0,37.0,112.0,12
6,36,0,0,0,1,1,327808,391,1.0,12.0,14.0,41.0,108.0,16
16,256,0,0,0,1,1,352069,810,1.0,10.0,12.0,42.0,90.0,12
19,361,1,0,0,0,1,166467,543,1.0,10.348136996612721,12.0,39.0,86.0,9
19,361,1,0,0,0,1,196733,593,1.0,12.0,12.0,37.0,102.44978165938865,9
2,4,0,0,0,1,1,100353,864,1.0,12.0,12.0,40.0,127.0,17
12,144,1,0,0,0,1,116191,700,1.0,8.0,10.00344827586207,32.0,86.0,10
7,49,0,0,0,0,1,410536,510,1.0,12.0,12.0,27.0,113.0,12
15,225,0,0,0,1,1,316862,615,1.0,12.0,9.0,51.0,111.0,13
9,81,0,0,0,1,1,428238,761,0.0,8.0,9.0,41.0,113.0,14
15,225,0,0,0,1,1,551817,493,1.0,10.348136996612721,10.00344827586207,32.0,81.0,10
2,4,0,0,0,1,1,369567,445,1.0,12.0,12.0,34.0,111.0,16
7,49,0,0,0,1,1,369567,425,1.0,9.0,8.0,20.0,102.44978165938865,12
2,4,0,0,1,1,1,357519,750,1.0,12.0,12.0,24.0,112.0,16
2,4,0,0,0,1,1,357519,700,1.0,12.0,12.0,30.0,114.0,16
6,36,0,0,0,1,1,357519,438,1.0,9.0,9.0,33.0,102.44978165938865,12
11,121,0,0,0,1,1,480445,608,1.0,12.0,12.0,30.0,111.0,12
5,25,0,0,0,1,1,357519,450,0.0,8.0,7.0,32.0,106.0,13
17,289,0,0,0,1,1,422407,313,0.0,0.0,4.0,6.0,102.44978165938865,3
20,400,1,0,0,1,1,177101,250,0.0,5.0,6.0,33.540668241646976,102.44978165938865,7
13,169,0,0,0,1,1,367470,500,0.0,12.0,12.0,26.0,79.0,14
8,64,0,0,0,1,1,422310,365,1.0,12.0,11.0,28.0,98.0,12
8,64,0,0,0,1,1,364232,813,1.0,12.0,10.0,28.0,105.0,12
7,49,0,0,0,0,1,354077,326,1.0,12.0,10.0,33.0,102.44978165938865,12
11,121,0,0,0,0,0,428238,524,0.0,10.0,10.00344827586207,29.0,105.0,12
9,81,0,0,0,1,1,327808,815,1.0,12.0,9.0,44.0,118.0,13
10,100,0,0,0,1,0,327808,750,1.0,12.0,11.0,35.0,100.0,12
1,1,0,0,0,1,1,318670,525,1.0,10.0,9.0,36.0,102.44978165938865,17
14,196,0,0,0,1,1,316862,1125,1.0,12.0,8.0,38.0,90.0,12
10,100,0,0,0,1,1,327808,625,1.0,9.0,8.0,34.0,95.0,12
5,25,0,0,0,1,1,354077,715,1.0,12.0,12.0,24.0,112.0,14
13,169,0,0,0,0,1,428238,591,1.0,12.0,8.0,32.0,96.0,12
4,16,0,0,1,1,1,321899,404,1.0,12.0,12.0,37.0,127.0,17
10,100,0,0,0,1,1,422310,675,1.0,12.0,10.0,39.0,120.0,12
7,49,0,0,0,1,1,410536,444,1.0,12.0,10.0,41.0,123.0,12
6,36,0,0,0,1,1,410536,488,1.0,12.0,10.0,34.0,102.44978165938865,12
19,361,0,0,0,1,1,408207,695,1.0,6.0,10.0,42.0,102.44978165938865,9
7,49,0,0,1,1,1,410536,700,0.0,12.0,10.0,25.0,98.0,12
6,36,0,0,0,1,1,410536,325,0.0,10.0,7.0,24.0,102.44978165938865,12
10,100,0,0,0,1,1,410536,556,1.0,11.0,12.0,30.0,102.44978165938865,9
8,64,0,0,0,1,1,380166,325,1.0,12.0,8.0,25.0,114.0,12
7,49,0,0,0,1,1,380166,668,1.0,16.0,15.0,32.0,103.0,13
7,49,0,0,0,1,1,496635,2404,1.0,16.0,18.0,40.0,121.0,18
3,9,0,0,1,1,1,410630,758,0.0,14.0,12.0,38.0,117.0,16
12,144,0,0,0,1,1,367470,986,1.0,12.0,12.0,44.0,90.0,16
7,49,0,0,0,1,1,410630,577,1.0,12.0,12.0,32.0,125.0,12
6,36,0,0,0,0,1,496635,286,1.0,12.0,12.0,39.0,104.0,17
8,64,0,0,0,1,1,380166,231,1.0,16.0,18.0,40.0,106.0,14
7,49,0,0,0,1,1,369567,513,1.0,10.0,7.0,33.0,102.44978165938865,12
7,49,0,0,0,1,1,380166,615,1.0,10.0,9.0,36.0,122.0,15
